,total_lines,extern_c,link_attrs,no_mangle,unsafe_count,unsafe_fn_count,ffi_file_count,syntax_tree_height,ffi_density_per_kloc,average_file_depth,kernel,driver,sandbox,library,other
mean,8968.734020618556,19.282474226804123,0.0,1.8061855670103093,71.83711340206186,4.051546391752577,6.5237113402061855,3.1690721649484535,6.501940793510326,1.6287676531275477,0.15670103092783505,0.049484536082474224,0.0,2.569072164948454,24.251546391752576
median,2586.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.8437394532568343,1.2,0.0,0.0,0.0,1.0,8.0
max,333134.0,7228.0,0.0,213.0,17249.0,408.0,152.0,15.0,153.06122448979593,7.787234042553192,73.0,7.0,0.0,158.0,485.0
